test_id;test_param;test_param_value;test_time
1;TC;2;2
2;TC;4;1
3;TC;6;1
4;TC;8;1
5;TC;10;1
6;TC;12;2
7;TC;14;2
8;TC;16;2
9;TC;18;2
10;TC;20;3
11;TC;22;3
12;TC;24;2
13;TC;26;4
14;TC;28;3
15;TC;30;3
16;TC;32;4
17;TC;34;3
18;TC;36;3
19;TC;38;4
20;TC;40;4
21;TC;42;5
22;TC;44;4
23;TC;46;4
24;TC;48;5
25;TC;50;5
26;TC;52;5
27;TC;54;5
28;TC;56;5
29;TC;58;5
30;TC;60;6
31;TC;62;7
32;TC;64;6
33;TC;66;6
34;TC;68;6
35;TC;70;7
36;TC;72;7
37;TC;74;6
38;TC;76;7
39;TC;78;7
40;TC;80;8
41;TC;82;7
42;TC;84;7
43;TC;86;7
44;TC;88;10
45;TC;90;8
46;TC;92;9
47;TC;94;8
48;TC;96;9
49;TC;98;10
50;TC;100;8
