test_id;test_param;test_param_value;test_time
1;TC;2;4
2;TC;4;6
3;TC;6;8
4;TC;8;10
5;TC;10;13
6;TC;12;14
7;TC;14;15
8;TC;16;18
9;TC;18;19
10;TC;20;22
11;TC;22;26
12;TC;24;29
13;TC;26;29
14;TC;28;30
15;TC;30;34
16;TC;32;38
17;TC;34;40
18;TC;36;39
19;TC;38;43
20;TC;40;46
21;TC;42;51
22;TC;44;47
23;TC;46;54
24;TC;48;56
25;TC;50;57
26;TC;52;59
27;TC;54;61
28;TC;56;68
29;TC;58;69
30;TC;60;66
31;TC;62;68
32;TC;64;73
33;TC;66;72
34;TC;68;72
35;TC;70;82
36;TC;72;86
37;TC;74;87
38;TC;76;89
39;TC;78;96
40;TC;80;91
41;TC;82;96
42;TC;84;96
43;TC;86;105
44;TC;88;98
45;TC;90;95
46;TC;92;107
47;TC;94;103
48;TC;96;101
49;TC;98;119
50;TC;100;120
