test_id;test_param;test_param_value;test_time
1;TC;2;64
2;TC;4;60
3;TC;6;62
4;TC;8;73
5;TC;10;64
6;TC;12;67
7;TC;14;65
8;TC;16;65
9;TC;18;73
10;TC;20;66
11;TC;22;74
12;TC;24;69
13;TC;26;70
14;TC;28;71
15;TC;30;69
16;TC;32;76
17;TC;34;77
18;TC;36;78
19;TC;38;76
20;TC;40;87
21;TC;42;75
22;TC;44;82
23;TC;46;87
24;TC;48;91
25;TC;50;90
26;TC;52;93
27;TC;54;83
28;TC;56;91
29;TC;58;100
30;TC;60;99
31;TC;62;100
32;TC;64;98
33;TC;66;95
34;TC;68;97
35;TC;70;105
36;TC;72;99
37;TC;74;106
38;TC;76;111
39;TC;78;103
40;TC;80;104
41;TC;82;107
42;TC;84;114
43;TC;86;102
44;TC;88;115
45;TC;90;106
46;TC;92;119
47;TC;94;107
48;TC;96;117
49;TC;98;112
50;TC;100;125
