test_id;test_param;test_param_value;test_time
1;TC;2;8
2;TC;4;9
3;TC;6;11
4;TC;8;14
5;TC;10;22
6;TC;12;19
7;TC;14;18
8;TC;16;22
9;TC;18;23
10;TC;20;26
11;TC;22;27
12;TC;24;32
13;TC;26;32
14;TC;28;34
15;TC;30;36
16;TC;32;40
17;TC;34;42
18;TC;36;44
19;TC;38;48
20;TC;40;50
21;TC;42;51
22;TC;44;56
23;TC;46;57
24;TC;48;58
25;TC;50;61
26;TC;52;64
27;TC;54;66
28;TC;56;67
29;TC;58;91
30;TC;60;86
31;TC;62;85
32;TC;64;81
33;TC;66;92
34;TC;68;91
35;TC;70;110
36;TC;72;113
37;TC;74;102
38;TC;76;107
39;TC;78;107
40;TC;80;112
41;TC;82;112
42;TC;84;117
43;TC;86;115
44;TC;88;123
45;TC;90;117
46;TC;92;129
47;TC;94;128
48;TC;96;132
49;TC;98;134
50;TC;100;137
