test_id;test_param;test_param_value;test_time
1;TC;2;13
2;TC;4;11
3;TC;6;14
4;TC;8;16
5;TC;10;21
6;TC;12;25
7;TC;14;26
8;TC;16;32
9;TC;18;35
10;TC;20;38
11;TC;22;43
12;TC;24;46
13;TC;26;49
14;TC;28;56
15;TC;30;57
16;TC;32;64
17;TC;34;67
18;TC;36;70
19;TC;38;77
20;TC;40;78
21;TC;42;82
22;TC;44;84
23;TC;46;90
24;TC;48;93
25;TC;50;99
26;TC;52;104
27;TC;54;104
28;TC;56;108
29;TC;58;112
30;TC;60;115
31;TC;62;120
32;TC;64;123
33;TC;66;129
34;TC;68;131
35;TC;70;137
36;TC;72;141
37;TC;74;145
38;TC;76;147
39;TC;78;153
40;TC;80;156
41;TC;82;162
42;TC;84;167
43;TC;86;170
44;TC;88;176
45;TC;90;177
46;TC;92;188
47;TC;94;185
48;TC;96;191
49;TC;98;195
50;TC;100;200
